new_filename,original_filename,ego_agent_idx,interactivity_score,map_id
map_000000.bin,map_032035.bin,34,0.981312,32035
map_000001.bin,map_005373.bin,37,0.978784,5373
map_000002.bin,map_018598.bin,57,0.967776,18598
map_000003.bin,map_001584.bin,20,0.966942,1584
map_000004.bin,map_040756.bin,7,0.953827,40756
map_000005.bin,map_037369.bin,13,0.952304,37369
map_000006.bin,map_029899.bin,0,0.951705,29899
map_000007.bin,map_013656.bin,44,0.951109,13656
map_000008.bin,map_009038.bin,82,0.941122,9038
map_000009.bin,map_013203.bin,10,0.939582,13203
map_000010.bin,map_013560.bin,18,0.938268,13560
map_000011.bin,map_027511.bin,128,0.937722,27511
map_000012.bin,map_024113.bin,13,0.937157,24113
map_000013.bin,map_026281.bin,6,0.936942,26281
map_000014.bin,map_022945.bin,46,0.936463,22945
map_000015.bin,map_001656.bin,14,0.934196,1656
map_000016.bin,map_021315.bin,24,0.933699,21315
map_000017.bin,map_032163.bin,2,0.933061,32163
map_000018.bin,map_026764.bin,21,0.931418,26764
map_000019.bin,map_032281.bin,63,0.929345,32281
map_000020.bin,map_024278.bin,8,0.929273,24278
map_000021.bin,map_009214.bin,5,0.929048,9214
map_000022.bin,map_019040.bin,4,0.928558,19040
map_000023.bin,map_005085.bin,11,0.926271,5085
map_000024.bin,map_035080.bin,35,0.925018,35080
map_000025.bin,map_011547.bin,12,0.925000,11547
map_000026.bin,map_033823.bin,53,0.924092,33823
map_000027.bin,map_041419.bin,6,0.923849,41419
map_000028.bin,map_003628.bin,27,0.923800,3628
map_000029.bin,map_037610.bin,79,0.922970,37610
map_000030.bin,map_030112.bin,15,0.922598,30112
map_000031.bin,map_037993.bin,19,0.922387,37993
map_000032.bin,map_018708.bin,13,0.921518,18708
map_000033.bin,map_027034.bin,16,0.921376,27034
map_000034.bin,map_010924.bin,8,0.917855,10924
map_000035.bin,map_014311.bin,50,0.917715,14311
map_000036.bin,map_036000.bin,19,0.917666,36000
map_000037.bin,map_031618.bin,1,0.916623,31618
map_000038.bin,map_021413.bin,9,0.915733,21413
map_000039.bin,map_004022.bin,44,0.915367,4022
map_000040.bin,map_021482.bin,13,0.915088,21482
map_000041.bin,map_032163.bin,23,0.914775,32163
map_000042.bin,map_004218.bin,20,0.914386,4218
map_000043.bin,map_032996.bin,56,0.913945,32996
map_000044.bin,map_037369.bin,9,0.913734,37369
map_000045.bin,map_022469.bin,25,0.913432,22469
map_000046.bin,map_040200.bin,37,0.912889,40200
map_000047.bin,map_026584.bin,49,0.912026,26584
map_000048.bin,map_030892.bin,6,0.911488,30892
map_000049.bin,map_032985.bin,4,0.911243,32985
map_000050.bin,map_025042.bin,15,0.910756,25042
map_000051.bin,map_025042.bin,37,0.910674,25042
map_000052.bin,map_032031.bin,45,0.910211,32031
map_000053.bin,map_004184.bin,6,0.908816,4184
map_000054.bin,map_025191.bin,12,0.908694,25191
map_000055.bin,map_000397.bin,13,0.908512,397
map_000056.bin,map_035110.bin,41,0.908385,35110
map_000057.bin,map_032068.bin,3,0.907663,32068
map_000058.bin,map_026296.bin,13,0.906141,26296
map_000059.bin,map_035167.bin,5,0.905602,35167
map_000060.bin,map_029452.bin,54,0.904477,29452
map_000061.bin,map_023031.bin,39,0.904230,23031
map_000062.bin,map_039633.bin,69,0.904225,39633
map_000063.bin,map_006900.bin,14,0.903645,6900
map_000064.bin,map_029188.bin,33,0.903277,29188
map_000065.bin,map_009450.bin,48,0.902959,9450
map_000066.bin,map_004671.bin,0,0.902855,4671
map_000067.bin,map_027516.bin,12,0.901927,27516
map_000068.bin,map_018778.bin,8,0.901789,18778
map_000069.bin,map_020030.bin,19,0.901215,20030
map_000070.bin,map_015765.bin,21,0.901047,15765
map_000071.bin,map_003399.bin,22,0.900444,3399
map_000072.bin,map_035193.bin,35,0.900216,35193
map_000073.bin,map_012582.bin,3,0.900156,12582
map_000074.bin,map_032864.bin,29,0.900117,32864
map_000075.bin,map_013593.bin,0,0.900000,13593
map_000076.bin,map_005481.bin,21,0.899778,5481
map_000077.bin,map_031145.bin,6,0.899616,31145
map_000078.bin,map_037993.bin,34,0.899065,37993
map_000079.bin,map_033059.bin,35,0.898712,33059
map_000080.bin,map_009773.bin,78,0.898648,9773
map_000081.bin,map_026610.bin,59,0.898077,26610
map_000082.bin,map_000787.bin,88,0.898049,787
map_000083.bin,map_031850.bin,24,0.897992,31850
map_000084.bin,map_027035.bin,11,0.897782,27035
map_000085.bin,map_030218.bin,8,0.897654,30218
map_000086.bin,map_004893.bin,8,0.897441,4893
map_000087.bin,map_031415.bin,102,0.897305,31415
map_000088.bin,map_034959.bin,60,0.897238,34959
map_000089.bin,map_009214.bin,11,0.897233,9214
map_000090.bin,map_030112.bin,6,0.897226,30112
map_000091.bin,map_027715.bin,11,0.897210,27715
map_000092.bin,map_038228.bin,26,0.897192,38228
map_000093.bin,map_039789.bin,27,0.896971,39789
map_000094.bin,map_015072.bin,41,0.896223,15072
map_000095.bin,map_024693.bin,26,0.895432,24693
map_000096.bin,map_025617.bin,7,0.895422,25617
map_000097.bin,map_003267.bin,127,0.895345,3267
map_000098.bin,map_034962.bin,9,0.895000,34962
map_000099.bin,map_025602.bin,49,0.894672,25602
map_000100.bin,map_037864.bin,9,0.894459,37864
map_000101.bin,map_035122.bin,11,0.894260,35122
map_000102.bin,map_015066.bin,69,0.894161,15066
map_000103.bin,map_016764.bin,44,0.894150,16764
map_000104.bin,map_028142.bin,95,0.894090,28142
map_000105.bin,map_001718.bin,8,0.894045,1718
map_000106.bin,map_036584.bin,2,0.893948,36584
map_000107.bin,map_000613.bin,2,0.893671,613
map_000108.bin,map_004511.bin,25,0.893537,4511
map_000109.bin,map_025470.bin,44,0.893103,25470
map_000110.bin,map_002460.bin,10,0.892935,2460
map_000111.bin,map_022066.bin,8,0.892910,22066
map_000112.bin,map_017662.bin,33,0.892437,17662
map_000113.bin,map_010248.bin,7,0.891981,10248
map_000114.bin,map_019489.bin,6,0.891536,19489
map_000115.bin,map_000423.bin,7,0.891384,423
map_000116.bin,map_026045.bin,11,0.890711,26045
map_000117.bin,map_038055.bin,17,0.890683,38055
map_000118.bin,map_008093.bin,33,0.890490,8093
map_000119.bin,map_017084.bin,4,0.890380,17084
map_000120.bin,map_003722.bin,8,0.889868,3722
map_000121.bin,map_017208.bin,8,0.889454,17208
map_000122.bin,map_034959.bin,59,0.889320,34959
map_000123.bin,map_040350.bin,30,0.889224,40350
map_000124.bin,map_035298.bin,0,0.889029,35298
map_000125.bin,map_037268.bin,29,0.888870,37268
map_000126.bin,map_027787.bin,27,0.888815,27787
map_000127.bin,map_022945.bin,41,0.888669,22945
map_000128.bin,map_007247.bin,95,0.888639,7247
map_000129.bin,map_037069.bin,8,0.888342,37069
map_000130.bin,map_023490.bin,10,0.887655,23490
map_000131.bin,map_029452.bin,16,0.887608,29452
map_000132.bin,map_027452.bin,24,0.887156,27452
map_000133.bin,map_011367.bin,32,0.886905,11367
map_000134.bin,map_036299.bin,16,0.886839,36299
map_000135.bin,map_020748.bin,13,0.886383,20748
map_000136.bin,map_009983.bin,5,0.885956,9983
map_000137.bin,map_023083.bin,2,0.885915,23083
map_000138.bin,map_006869.bin,25,0.885563,6869
map_000139.bin,map_039000.bin,92,0.885546,39000
map_000140.bin,map_001865.bin,37,0.885536,1865
map_000141.bin,map_011835.bin,9,0.885525,11835
map_000142.bin,map_001644.bin,32,0.885229,1644
