new_filename,original_filename,ego_agent_idx,interactivity_score,map_id
map_000000.bin,map_036789.bin,10,0.288410,36789
map_000001.bin,map_006716.bin,3,0.091604,6716
map_000002.bin,map_000525.bin,5,0.240845,525
map_000003.bin,map_015691.bin,46,0.458070,15691
map_000004.bin,map_014182.bin,52,0.121563,14182
map_000005.bin,map_013056.bin,65,0.385341,13056
map_000006.bin,map_006550.bin,17,0.224741,6550
map_000007.bin,map_005935.bin,23,0.028011,5935
map_000008.bin,map_038749.bin,47,0.253617,38749
map_000009.bin,map_031017.bin,33,0.405884,31017
map_000010.bin,map_005342.bin,58,0.040074,5342
map_000011.bin,map_034202.bin,61,0.059192,34202
map_000012.bin,map_024043.bin,4,0.094491,24043
map_000013.bin,map_001607.bin,16,0.140697,1607
map_000014.bin,map_001293.bin,20,0.143946,1293
map_000015.bin,map_004131.bin,72,0.125290,4131
map_000016.bin,map_012485.bin,71,0.232966,12485
map_000017.bin,map_013281.bin,4,0.064075,13281
map_000018.bin,map_028476.bin,24,0.314921,28476
map_000019.bin,map_034439.bin,35,0.281282,34439
map_000020.bin,map_003108.bin,33,0.238397,3108
map_000021.bin,map_032318.bin,29,0.113955,32318
map_000022.bin,map_011355.bin,1,0.339360,11355
map_000023.bin,map_041214.bin,20,0.279216,41214
map_000024.bin,map_037102.bin,12,0.178526,37102
map_000025.bin,map_041080.bin,9,0.445890,41080
map_000026.bin,map_031695.bin,12,0.241896,31695
map_000027.bin,map_023998.bin,27,0.651070,23998
map_000028.bin,map_012998.bin,6,0.213515,12998
map_000029.bin,map_025666.bin,5,0.056404,25666
map_000030.bin,map_034922.bin,18,0.643396,34922
map_000031.bin,map_015262.bin,39,0.256531,15262
map_000032.bin,map_000212.bin,27,0.118171,212
map_000033.bin,map_008472.bin,24,0.114186,8472
map_000034.bin,map_040388.bin,34,0.477887,40388
map_000035.bin,map_024079.bin,12,0.053708,24079
map_000036.bin,map_019044.bin,27,0.152715,19044
map_000037.bin,map_015244.bin,6,0.100198,15244
map_000038.bin,map_009341.bin,26,0.262013,9341
map_000039.bin,map_012203.bin,54,0.294838,12203
map_000040.bin,map_019932.bin,1,0.220649,19932
map_000041.bin,map_005922.bin,91,0.305031,5922
map_000042.bin,map_006075.bin,2,0.232695,6075
map_000043.bin,map_022350.bin,1,0.164650,22350
map_000044.bin,map_005795.bin,14,0.158626,5795
map_000045.bin,map_019637.bin,4,0.163390,19637
map_000046.bin,map_020070.bin,12,0.420030,20070
map_000047.bin,map_034637.bin,56,0.118494,34637
map_000048.bin,map_015390.bin,11,0.188682,15390
map_000049.bin,map_000946.bin,16,0.123751,946
map_000050.bin,map_026035.bin,43,0.315108,26035
map_000051.bin,map_031391.bin,2,0.437271,31391
map_000052.bin,map_006801.bin,10,0.070992,6801
map_000053.bin,map_022160.bin,10,0.174852,22160
map_000054.bin,map_004586.bin,30,0.327101,4586
map_000055.bin,map_031796.bin,45,0.290636,31796
map_000056.bin,map_017654.bin,7,0.193177,17654
map_000057.bin,map_035566.bin,28,0.319870,35566
map_000058.bin,map_035999.bin,19,0.226432,35999
map_000059.bin,map_019883.bin,6,0.172267,19883
map_000060.bin,map_033261.bin,38,0.152497,33261
map_000061.bin,map_011073.bin,0,0.290021,11073
map_000062.bin,map_040471.bin,2,0.523262,40471
map_000063.bin,map_005636.bin,60,0.450662,5636
map_000064.bin,map_001778.bin,83,0.179535,1778
map_000065.bin,map_037947.bin,0,0.216174,37947
map_000066.bin,map_013607.bin,11,0.665521,13607
map_000067.bin,map_016442.bin,38,0.188447,16442
map_000068.bin,map_004845.bin,1,0.093249,4845
map_000069.bin,map_013287.bin,43,0.205541,13287
map_000070.bin,map_005255.bin,21,0.241417,5255
map_000071.bin,map_022364.bin,56,0.115183,22364
map_000072.bin,map_015250.bin,19,0.300604,15250
map_000073.bin,map_026305.bin,3,0.079765,26305
map_000074.bin,map_037061.bin,22,0.172184,37061
map_000075.bin,map_021970.bin,3,0.204515,21970
map_000076.bin,map_009451.bin,5,0.126685,9451
map_000077.bin,map_021490.bin,2,0.200858,21490
map_000078.bin,map_021024.bin,21,0.333901,21024
map_000079.bin,map_012066.bin,29,0.257878,12066
map_000080.bin,map_039251.bin,33,0.259511,39251
map_000081.bin,map_015726.bin,40,0.084816,15726
map_000082.bin,map_040115.bin,5,0.419255,40115
map_000083.bin,map_038864.bin,13,0.120764,38864
map_000084.bin,map_036597.bin,28,0.310006,36597
map_000085.bin,map_003749.bin,42,0.439464,3749
map_000086.bin,map_034843.bin,38,0.210647,34843
map_000087.bin,map_037017.bin,37,0.265138,37017
map_000088.bin,map_010233.bin,15,0.046553,10233
map_000089.bin,map_030955.bin,8,0.265398,30955
map_000090.bin,map_014179.bin,110,0.362661,14179
map_000091.bin,map_009202.bin,1,0.190344,9202
map_000092.bin,map_026187.bin,48,0.509213,26187
map_000093.bin,map_022319.bin,35,0.265691,22319
map_000094.bin,map_015504.bin,38,0.170050,15504
map_000095.bin,map_037515.bin,12,0.108303,37515
map_000096.bin,map_038922.bin,25,0.256812,38922
map_000097.bin,map_032489.bin,10,0.220918,32489
map_000098.bin,map_012956.bin,2,0.184503,12956
map_000099.bin,map_039726.bin,11,0.248880,39726
map_000100.bin,map_018948.bin,5,0.261969,18948
map_000101.bin,map_003406.bin,11,0.318604,3406
map_000102.bin,map_013675.bin,10,0.228932,13675
map_000103.bin,map_001622.bin,24,0.242120,1622
map_000104.bin,map_018035.bin,20,0.114842,18035
map_000105.bin,map_022446.bin,1,0.028682,22446
map_000106.bin,map_015777.bin,6,0.220175,15777
map_000107.bin,map_003840.bin,88,0.108475,3840
map_000108.bin,map_011945.bin,44,0.424247,11945
map_000109.bin,map_033160.bin,10,0.259613,33160
map_000110.bin,map_041320.bin,25,0.228527,41320
map_000111.bin,map_016992.bin,1,0.275836,16992
map_000112.bin,map_012336.bin,6,0.169926,12336
map_000113.bin,map_036820.bin,6,0.118144,36820
map_000114.bin,map_027415.bin,93,0.256609,27415
map_000115.bin,map_023129.bin,4,0.264733,23129
map_000116.bin,map_036605.bin,37,0.052380,36605
map_000117.bin,map_026008.bin,25,0.235421,26008
map_000118.bin,map_007739.bin,6,0.345054,7739
map_000119.bin,map_015110.bin,3,0.736156,15110
map_000120.bin,map_006552.bin,35,0.146280,6552
map_000121.bin,map_013374.bin,1,0.392166,13374
map_000122.bin,map_032326.bin,25,0.192712,32326
map_000123.bin,map_030856.bin,18,0.252173,30856
map_000124.bin,map_014886.bin,36,0.324242,14886
map_000125.bin,map_034153.bin,18,0.079431,34153
map_000126.bin,map_023411.bin,64,0.151662,23411
map_000127.bin,map_031895.bin,8,0.133067,31895
map_000128.bin,map_023342.bin,79,0.159495,23342
